City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mar del Plata,-38.0023,-57.5575,23.0,60,0,3.6,AR,1612542159
Busselton,-33.65,115.3333,16.11,68,95,1.34,AU,1612542342
Voh,-20.9667,164.7,23.45,88,11,1.15,NC,1612542342
Waddān,29.1614,16.139,22.4,21,1,1.85,LY,1612542342
Porto Nacional,-10.7081,-48.4172,31.0,66,40,3.6,BR,1612542342
Provideniya,64.3833,-173.3,-15.08,90,100,9.88,RU,1612542342
Nānākuli,21.3906,-158.1547,16.0,82,75,1.54,US,1612542342
Lebu,-37.6167,-73.65,18.07,72,50,5.81,CL,1612542342
Port Alfred,-33.5906,26.891,22.22,89,98,1.34,ZA,1612542342
Ushuaia,-54.8,-68.3,10.0,71,75,12.35,AR,1612542062
Praia da Vitória,38.7333,-27.0667,15.0,63,75,7.57,PT,1612542342
Saint George,37.1041,-113.5841,2.0,48,1,0.46,US,1612542325
Kolondiéba,11.0882,-6.8926,38.98,9,44,1.49,ML,1612542343
Salalah,17.0151,54.0924,24.0,64,40,2.57,OM,1612542343
Hobart,-42.8794,147.3294,21.0,83,90,4.63,AU,1612542077
Meulaboh,4.1363,96.1285,26.14,79,84,1.53,ID,1612542118
Mayo,38.8876,-76.5119,10.0,61,1,4.12,US,1612542343
Albany,42.6001,-73.9662,2.78,62,100,0.89,US,1612542343
San Cristobal,7.7669,-72.225,30.0,51,40,6.17,VE,1612542122
Puerto Ayora,-0.7393,-90.3518,29.0,65,75,8.75,EC,1612542343
Compostela,7.6731,126.0889,22.77,87,100,1.13,PH,1612542343
Noumea,-22.2763,166.4572,26.11,94,90,1.54,NC,1612542343
Maramba,-5.05,38.6167,21.2,87,21,2.51,TZ,1612542343
Ust'-Ishim,57.6935,71.1665,-3.36,99,100,2.06,RU,1612542343
Kiryat Gat,31.61,34.7642,17.22,100,11,4.9,IL,1612542343
Puerto Quijarro,-17.7833,-57.7667,32.86,41,42,2.89,BO,1612542343
Itarema,-2.9248,-39.9167,30.71,52,3,7.66,BR,1612542343
Rikitea,-23.1203,-134.9692,25.63,71,40,5.4,PF,1612542343
Khatanga,71.9667,102.5,-32.85,79,41,3.86,RU,1612542250
Hithadhoo,-0.6,73.0833,28.27,78,100,6.6,MV,1612542344
Mataura,-46.1927,168.8643,8.57,94,100,0.67,NZ,1612542344
San Mateo Ixtatán,15.8319,-91.4781,20.0,37,0,0.8,GT,1612542344
Aykhal,66.0,111.5,-36.76,81,7,1.69,RU,1612542344
Pacifica,37.6138,-122.4869,10.0,66,1,2.07,US,1612542343
Nouadhibou,20.931,-17.0347,20.0,68,40,7.72,MR,1612542344
Aitape,-3.1374,142.3475,25.36,84,100,0.57,PG,1612542344
Sinnamary,5.3833,-52.95,26.37,82,91,6.14,GF,1612542344
Kapaa,22.0752,-159.319,17.78,77,90,2.57,US,1612542344
Yellowknife,62.456,-114.3525,-39.0,67,20,3.6,CA,1612542344
Cape Town,-33.9258,18.4232,24.44,73,20,12.86,ZA,1612542344
Ribeira Grande,38.5167,-28.7,16.0,63,40,9.26,PT,1612542344
Dingle,10.9995,122.6711,24.36,89,97,3.26,PH,1612542100
George Town,5.4112,100.3354,28.89,83,20,1.03,MY,1612542154
Talnakh,69.4865,88.3972,-30.98,84,100,2.43,RU,1612542344
Souillac,-20.5167,57.5167,27.0,78,75,2.06,MU,1612542344
Tasiilaq,65.6145,-37.6368,-6.0,63,20,2.06,GL,1612542344
Bluff,-46.6,168.3333,11.69,86,100,2.13,NZ,1612542344
Jamestown,42.097,-79.2353,-2.0,69,90,9.77,US,1612542344
Burns Lake,54.2331,-125.7533,-4.0,93,83,1.54,CA,1612542344
Grand Gaube,-20.0064,57.6608,26.11,78,0,1.79,MU,1612542345
Yoichi,43.2039,140.7703,-5.0,77,100,4.09,JP,1612542345
Hurghada,27.2574,33.8129,21.0,46,0,10.8,EG,1612542345
Vaini,-21.2,-175.2,26.0,94,75,0.51,TO,1612542078
Ratnagiri,16.9833,73.3,23.77,66,0,3.9,IN,1612542345
Bengbu,32.9408,117.3608,7.76,72,0,3.98,CN,1612542345
New Norfolk,-42.7826,147.0587,18.33,89,100,1.21,AU,1612542079
